gvkey,year,n_points,slope_log,trend_group
103342,2018,3,-0.099368,declining
103342,2019,3,-0.007497,stable
103342,2020,3,0.693244,rising
103342,2021,3,0.646548,rising
103342,2022,3,-0.104790,declining
103342,2023,3,-0.324501,declining
103342,2024,3,-0.325922,declining
104652,2016,2,0.309119,rising
104652,2017,3,0.318713,rising
104652,2018,3,0.215347,rising
104652,2019,3,0.027561,rising
104652,2020,3,0.048378,rising
104652,2021,3,0.050075,rising
104652,2022,3,-0.325405,declining
104652,2023,3,-0.657969,declining
104652,2024,3,-0.174313,declining
111320,2016,2,0.350529,rising
111320,2017,3,-0.037687,declining
111320,2018,3,-0.288418,declining
111320,2019,3,-0.117640,declining
111320,2020,3,0.017000,stable
111320,2021,3,0.129128,rising
111320,2022,3,0.055933,rising
111320,2023,3,-0.812895,declining
111320,2024,3,-1.614705,declining
154941,2016,2,0.074210,rising
154941,2017,3,0.236539,rising
154941,2018,3,0.117035,rising
154941,2019,3,-0.214892,declining
154941,2020,3,-0.191898,declining
154941,2021,3,-0.250049,declining
154941,2022,3,-0.291850,declining
154941,2023,3,-0.266174,declining
154941,2024,3,-0.503131,declining
201792,2016,2,0.171439,rising
201792,2017,3,-0.381986,declining
201792,2018,3,-0.182373,declining
201792,2019,3,0.308769,rising
201792,2020,3,-0.041435,declining
201792,2021,3,-0.041929,declining
201792,2022,3,0.124073,rising
201792,2023,3,-0.114678,declining
201792,2024,3,-0.300039,declining
201794,2016,2,0.145581,rising
201794,2017,3,0.067841,rising
201794,2018,3,-0.086760,declining
201794,2019,3,-0.112360,declining
201794,2020,3,-0.193241,declining
201794,2021,3,-0.319478,declining
201794,2022,3,-0.200814,declining
201794,2023,3,-0.239101,declining
201794,2024,3,-0.226869,declining
203894,2016,2,0.126835,rising
203894,2017,3,0.176407,rising
203894,2018,3,0.141566,rising
203894,2019,3,0.030042,rising
203894,2020,3,-0.017250,stable
203894,2021,3,0.021128,rising
203894,2022,3,-0.035472,declining
203894,2023,3,-0.306838,declining
203894,2024,3,-0.241245,declining
204671,2017,2,0.108961,rising
204671,2018,2,-0.237308,declining
204671,2019,3,-0.066610,declining
204671,2020,3,-0.029617,declining
204671,2021,3,-0.180863,declining
204671,2022,3,-0.234399,declining
204671,2023,3,-0.256931,declining
204671,2024,3,-0.280863,declining
206042,2016,2,0.666868,rising
206042,2017,3,0.630921,rising
206042,2018,3,0.114279,rising
206042,2019,3,-0.267680,declining
206042,2020,3,0.031610,rising
206042,2021,3,0.186003,rising
206042,2022,3,0.455642,rising
206042,2023,3,0.063683,rising
206042,2024,3,-0.424423,declining
211819,2016,2,0.230470,rising
211819,2017,3,-0.030864,declining
211819,2018,3,-0.027569,declining
211819,2019,3,-0.091635,declining
211819,2020,3,-0.151345,declining
211819,2021,3,0.057058,rising
211819,2022,3,0.011470,stable
211819,2023,3,-0.047519,declining
211819,2024,3,-0.150885,declining
220920,2016,2,-0.050524,declining
220920,2017,3,-0.076339,declining
220920,2018,3,-0.050244,declining
220920,2019,3,-0.064063,declining
220920,2020,3,-0.043242,declining
220920,2021,3,-0.162853,declining
220920,2022,3,-0.233099,declining
220920,2023,3,-0.162608,declining
220920,2024,2,-0.228033,declining
222357,2016,2,-0.129091,declining
222357,2017,3,-0.355924,declining
222357,2018,3,-0.241497,declining
222357,2019,3,-0.010104,stable
222357,2020,3,-0.029525,declining
222357,2021,3,-0.010003,stable
222357,2022,3,0.172092,rising
222357,2023,3,-0.248462,declining
222357,2024,3,-0.607426,declining
222601,2016,2,0.280081,rising
222601,2017,3,0.119259,rising
222601,2018,3,-0.065708,declining
222601,2019,3,-0.115969,declining
222601,2020,3,-0.156934,declining
222601,2021,3,-0.179345,declining
222601,2022,3,-0.222197,declining
222601,2023,3,-0.351860,declining
222601,2024,3,-0.217748,declining
225597,2016,2,0.212432,rising
225597,2017,3,0.079932,rising
225597,2018,3,-0.206617,declining
225597,2019,3,-0.188325,declining
225597,2020,3,-0.035031,declining
225597,2021,3,-0.699174,declining
225597,2022,3,-0.129789,declining
225597,2023,3,0.452497,rising
225597,2024,3,-1.186973,declining
227916,2016,2,0.177363,rising
227916,2017,3,-0.024288,declining
227916,2018,3,-0.064730,declining
227916,2019,3,0.056489,rising
227916,2020,3,-0.143104,declining
227916,2021,3,-0.078587,declining
227916,2022,3,-0.012892,stable
227916,2023,3,-0.133528,declining
227916,2024,3,-0.178431,declining
233257,2016,2,0.006044,stable
233257,2017,3,0.040948,rising
233257,2018,3,0.097175,rising
233257,2019,3,-0.007180,stable
233257,2020,3,-0.080527,declining
233257,2021,3,-0.028179,declining
233257,2022,3,-0.087948,declining
233257,2023,3,-0.179549,declining
233257,2024,3,-0.099939,declining
234117,2016,2,0.378052,rising
234117,2017,3,0.163254,rising
234117,2018,3,-0.043234,declining
234117,2019,3,-0.062313,declining
234117,2020,3,-0.170937,declining
234117,2021,3,-0.296976,declining
234117,2022,3,-0.090818,declining
234117,2023,3,0.149137,rising
234117,2024,3,0.011973,stable
244394,2016,2,0.020872,rising
244394,2017,3,-0.034973,declining
244394,2018,3,0.067803,rising
244394,2019,3,0.093834,rising
244394,2020,3,-0.068857,declining
244394,2021,3,-0.070593,declining
244394,2022,3,-0.002977,stable
244394,2023,3,0.007717,stable
244394,2024,3,-0.089554,declining
268325,2016,2,0.074502,rising
268325,2017,3,0.156976,rising
268325,2018,3,0.030356,rising
268325,2019,3,-0.099132,declining
268325,2020,3,-0.026533,declining
268325,2021,3,-0.048489,declining
268325,2022,2,-0.063437,declining
269005,2016,2,0.289384,rising
269005,2017,3,-0.090692,declining
269005,2018,3,-0.262301,declining
269005,2019,3,-0.036382,declining
269005,2020,3,-0.164834,declining
269005,2021,3,-0.178082,declining
269005,2022,3,0.240475,rising
269005,2023,3,-0.399118,declining
269005,2024,3,-0.566538,declining
270451,2016,2,0.015851,stable
270451,2017,3,0.017521,stable
270451,2018,3,-0.051671,declining
270451,2019,3,-0.135934,declining
270451,2020,3,1.268224,rising
270451,2021,3,1.180988,rising
270451,2022,3,-0.088163,declining
270451,2023,3,0.059601,rising
270451,2024,3,-0.127076,declining
271031,2016,2,0.081128,rising
271031,2017,3,0.018438,stable
271031,2018,3,-0.038179,declining
271031,2019,3,-0.093574,declining
271031,2020,3,-0.106109,declining
271031,2021,3,-0.058944,declining
271031,2022,3,-0.010862,stable
271031,2023,3,-0.076807,declining
271031,2024,3,-0.307335,declining
274890,2016,2,-0.268488,declining
274890,2017,3,-0.410644,declining
274890,2018,3,-0.406948,declining
274890,2019,3,-0.357516,declining
274890,2020,3,-0.590266,declining
274890,2021,3,-0.222304,declining
274890,2022,3,-0.402732,declining
274890,2023,3,-1.030099,declining
274890,2024,3,-0.651824,declining
275787,2016,2,0.927645,rising
275787,2017,3,0.687230,rising
275787,2018,3,0.438121,rising
275787,2019,3,0.293842,rising
275787,2020,3,-0.166789,declining
275787,2021,3,-0.380222,declining
275787,2022,3,-0.192227,declining
275787,2023,2,-0.115847,declining
278784,2016,2,-0.171740,declining
278784,2017,3,-0.094362,declining
278784,2018,3,0.250962,rising
278784,2019,3,0.332224,rising
278784,2020,3,-0.035100,declining
278784,2021,3,-0.182914,declining
278784,2022,3,-0.016875,stable
278784,2023,2,0.116339,rising
286434,2016,2,0.649388,rising
286434,2017,3,1.001290,rising
286434,2018,3,0.576125,rising
286434,2019,3,-0.066976,declining
286434,2020,3,-0.051810,declining
286434,2021,3,-0.079591,declining
286434,2022,2,0.011428,stable
286434,2023,2,0.350029,rising
286434,2024,2,-0.011516,stable
288970,2016,2,-0.156267,declining
288970,2017,3,-0.573669,declining
288970,2018,3,-0.668995,declining
288970,2019,3,0.484529,rising
288970,2020,3,0.583798,rising
288970,2021,3,-0.042877,declining
288970,2022,3,0.042532,rising
288970,2023,3,-0.081376,declining
288970,2024,3,-0.089250,declining
293530,2016,2,0.184592,rising
293530,2017,3,0.133684,rising
293530,2018,3,0.060740,rising
293530,2019,3,0.040866,rising
293530,2020,3,0.009728,stable
293530,2021,3,-0.175954,declining
293530,2022,3,-0.280364,declining
293530,2023,3,-0.044515,declining
293530,2024,3,-0.056765,declining
317115,2016,2,-0.080747,declining
317115,2017,3,-0.045267,declining
317115,2018,3,-0.020639,declining
317115,2019,3,-0.011058,stable
317115,2020,3,0.047023,rising
317115,2021,2,0.084670,rising
317115,2022,2,-0.097589,declining
317115,2023,2,-0.036080,declining
317115,2024,3,-0.055413,declining
027141,2017,2,6.853672,rising
027141,2018,3,3.249080,rising
027141,2019,3,-0.184418,declining
027141,2020,3,0.062315,rising
027141,2021,3,0.018551,stable
027141,2022,3,0.083936,rising
027141,2023,3,-0.177701,declining
027141,2024,3,-0.449553,declining
100690,2017,2,0.044705,rising
100690,2018,3,-0.012232,stable
100690,2019,3,-0.020927,declining
100690,2020,3,-0.146082,declining
100690,2021,3,-0.192691,declining
100690,2022,3,-0.069354,declining
100690,2023,3,-0.022049,declining
100690,2024,3,0.129303,rising
104474,2017,2,0.128521,rising
104474,2018,3,0.113320,rising
104474,2019,3,-0.001102,stable
104474,2020,3,-0.098376,declining
104474,2021,3,-0.625469,declining
104474,2022,3,-0.582009,declining
104474,2023,3,-0.078562,declining
104474,2024,3,-0.115768,declining
200908,2017,2,0.271651,rising
200908,2018,3,0.175049,rising
200908,2019,3,0.016829,stable
200908,2020,3,-0.061404,declining
200908,2021,3,-0.027831,declining
200908,2022,3,0.050354,rising
200908,2023,3,-0.062141,declining
200908,2024,3,-0.277891,declining
206346,2018,2,0.072601,rising
206346,2019,2,-0.394265,declining
206346,2020,3,-0.378321,declining
206346,2021,3,-0.325723,declining
206346,2022,3,0.130150,rising
206346,2023,3,0.147648,rising
206346,2024,3,-0.464935,declining
241061,2017,2,2.656092,rising
241061,2018,3,0.324168,rising
241061,2019,3,0.958833,rising
241061,2020,3,1.890706,rising
241061,2021,3,0.013302,stable
241061,2022,3,0.051849,rising
241061,2023,3,0.180462,rising
241061,2024,3,-0.323970,declining
249448,2017,2,0.154730,rising
249448,2018,3,0.800253,rising
249448,2019,3,0.871344,rising
249448,2020,3,0.123108,rising
249448,2021,3,0.110110,rising
249448,2022,3,0.155136,rising
249448,2023,3,-0.026677,declining
249448,2024,3,-0.085241,declining
249638,2017,2,-0.004681,stable
249638,2018,3,-0.028406,declining
249638,2019,3,-0.018220,stable
249638,2020,3,-0.092875,declining
249638,2021,2,-0.201441,declining
249638,2022,2,-0.228749,declining
249638,2023,2,-0.053389,declining
249638,2024,3,-0.352550,declining
289434,2017,2,0.121287,rising
289434,2018,3,0.024565,rising
289434,2019,3,0.167418,rising
289434,2020,3,0.240130,rising
289434,2021,3,-0.079082,declining
289434,2022,2,-0.231430,declining
030747,2018,2,0.123440,rising
030747,2019,3,0.054872,rising
030747,2020,3,-0.028882,declining
030747,2021,3,-0.046680,declining
030747,2022,2,-0.049292,declining
104814,2018,2,1.192057,rising
104814,2019,3,0.079684,rising
104814,2020,3,-0.571123,declining
104814,2021,3,0.081737,rising
104814,2022,3,0.118993,rising
104814,2023,3,-0.032650,declining
104814,2024,3,-0.010303,stable
220942,2018,2,-0.331440,declining
220942,2019,3,-0.340797,declining
220942,2020,3,-0.295128,declining
220942,2021,3,-0.119317,declining
220942,2022,3,-0.122603,declining
220942,2023,3,-0.430265,declining
220942,2024,3,-0.359377,declining
269532,2018,2,-0.158488,declining
269532,2019,3,-0.510926,declining
269532,2020,3,-0.039026,declining
269532,2021,3,0.576952,rising
269532,2022,3,0.263227,rising
269532,2023,3,0.121514,rising
269532,2024,3,-0.124840,declining
290445,2018,2,0.265637,rising
290445,2019,3,0.185052,rising
290445,2020,3,-0.066585,declining
290445,2021,2,-0.237638,declining
290445,2022,2,-0.103432,declining
290445,2023,2,-0.235838,declining
290445,2024,3,-0.476771,declining
321632,2018,2,-0.352259,declining
321632,2019,3,-0.298045,declining
321632,2020,3,-0.059169,declining
321632,2021,3,0.094936,rising
321632,2022,3,-0.425649,declining
321632,2023,3,-0.644435,declining
321632,2024,3,-0.246625,declining
016590,2019,2,-0.052325,declining
016590,2020,3,-0.032246,declining
016590,2021,3,-0.162557,declining
016590,2022,3,-0.127639,declining
016590,2023,3,0.019881,stable
016590,2024,3,-0.027472,declining
030282,2019,2,0.273422,rising
030282,2020,3,0.819106,rising
030282,2021,3,0.786156,rising
030282,2022,3,0.113554,rising
030282,2023,3,-0.153675,declining
030282,2024,3,-0.169916,declining
212928,2019,2,-0.064783,declining
212928,2020,3,-0.031102,declining
212928,2021,3,-0.047179,declining
212928,2022,3,-0.089927,declining
212928,2023,3,-0.033026,declining
212928,2024,3,0.035539,rising
216667,2019,2,-0.040572,declining
216667,2020,3,0.208367,rising
216667,2021,3,0.128031,rising
216667,2022,3,-0.002174,stable
216667,2023,3,-2.481266,declining
216667,2024,3,-2.546720,declining
244341,2019,2,-0.055572,declining
244341,2020,3,0.017120,stable
244341,2021,3,0.088115,rising
244341,2022,3,-0.085755,declining
244341,2023,3,-0.398535,declining
244341,2024,3,-0.162177,declining
251720,2019,2,-0.562608,declining
251720,2020,3,-0.161895,declining
251720,2021,3,-0.036206,declining
251720,2022,3,-0.179942,declining
251720,2023,3,-0.140761,declining
251720,2024,3,-0.109928,declining
268629,2019,2,0.069711,rising
268629,2020,3,0.073741,rising
268629,2021,3,-1.344860,declining
268629,2022,3,-1.554958,declining
268629,2023,3,0.049731,rising
268629,2024,3,0.156055,rising
274222,2019,2,0.013166,stable
274222,2020,3,-0.146584,declining
274222,2021,3,-0.159952,declining
274222,2022,3,-0.061062,declining
274222,2023,3,-0.002728,stable
274222,2024,3,0.054521,rising
286567,2019,2,2.242324,rising
286567,2020,3,1.732578,rising
286567,2021,3,0.638829,rising
286567,2022,3,-0.126374,declining
286567,2023,3,0.378946,rising
286567,2024,3,0.450637,rising
287670,2019,2,-0.243854,declining
287670,2020,3,-0.108978,declining
287670,2021,3,0.037594,rising
287670,2022,3,0.078154,rising
287670,2023,3,-0.579522,declining
287670,2024,3,-0.919785,declining
060844,2020,2,-0.355282,declining
060844,2021,3,-0.120554,declining
060844,2022,3,-0.099941,declining
060844,2023,3,0.273240,rising
060844,2024,3,0.622205,rising
212950,2020,2,1.105792,rising
212950,2021,3,0.674123,rising
212950,2022,3,0.222139,rising
212950,2023,3,-0.055945,declining
212950,2024,3,-0.134223,declining
243533,2020,2,-0.216502,declining
243533,2021,3,-0.016157,stable
243533,2022,3,0.111896,rising
243533,2023,3,-0.166255,declining
243533,2024,3,-0.188121,declining
285317,2020,2,-0.073604,declining
285317,2021,3,-0.196273,declining
285317,2022,3,-0.276507,declining
285317,2023,3,-0.080439,declining
285317,2024,3,-0.163541,declining
326558,2020,2,3.954214,rising
326558,2021,3,2.017790,rising
326558,2022,3,0.176314,rising
326558,2023,3,-0.593066,declining
326558,2024,3,-0.483642,declining
103133,2021,2,0.032625,rising
103133,2022,3,-0.122078,declining
103133,2023,3,-0.130948,declining
103133,2024,3,-0.374942,declining
204478,2021,2,-5.776765,declining
204478,2022,3,0.863097,rising
204478,2023,3,3.914700,rising
204478,2024,3,0.396048,rising
267054,2021,2,0.221684,rising
267054,2022,3,0.259691,rising
267054,2023,3,0.117069,rising
267054,2024,3,-0.019121,stable
268844,2021,2,1.296813,rising
268844,2022,3,-0.008869,stable
268844,2023,3,-0.489414,declining
268844,2024,3,-0.197241,declining
269744,2021,2,-0.161721,declining
269744,2022,3,-0.045710,declining
269744,2023,3,-0.094094,declining
269744,2024,3,-0.285664,declining
274724,2021,2,0.061677,rising
274724,2022,3,0.184828,rising
274724,2023,3,0.128587,rising
274724,2024,3,-0.003766,stable
278335,2021,2,0.100180,rising
278335,2022,3,-0.066817,declining
278335,2023,3,-0.433483,declining
278335,2024,3,-0.965692,declining
281784,2021,2,-0.099807,declining
281784,2022,3,-0.184230,declining
281784,2023,3,-0.004742,stable
281784,2024,3,0.052326,rising
322735,2021,2,0.092206,rising
322735,2022,3,-0.056949,declining
322735,2023,3,-0.734644,declining
322735,2024,3,-0.535844,declining
213862,2022,2,-1.729266,declining
213862,2023,3,-1.669085,declining
213862,2024,3,-0.594263,declining
216524,2022,2,0.070166,rising
216524,2023,3,-0.178633,declining
216524,2024,3,-0.301024,declining
239577,2022,2,0.116153,rising
239577,2023,3,-0.661013,declining
239577,2024,3,-0.819112,declining
241845,2022,2,0.197648,rising
241845,2023,3,0.103105,rising
241845,2024,3,-0.210750,declining
278027,2022,2,0.544056,rising
278027,2023,3,0.309710,rising
278027,2024,3,-0.038462,declining
281712,2022,2,0.775596,rising
281712,2023,3,0.052441,rising
281712,2024,3,-0.572777,declining
285082,2022,2,-0.276759,declining
285082,2023,3,0.286716,rising
285082,2024,3,0.492138,rising
322533,2022,2,-0.121330,declining
322533,2023,3,-0.008707,stable
322533,2024,3,0.068605,rising
347484,2022,2,0.180126,rising
347484,2023,3,-0.408021,declining
347484,2024,3,-0.003562,stable
102890,2023,2,-0.758819,declining
102890,2024,3,-0.511086,declining
103148,2023,2,-0.057869,declining
103148,2024,3,-0.109204,declining
211378,2023,2,1.873163,rising
211378,2024,3,0.505691,rising
232532,2023,2,0.042078,rising
232532,2024,3,-0.682570,declining
252586,2023,2,0.035724,rising
252586,2024,3,-0.081361,declining
258639,2023,2,0.012300,stable
258639,2024,3,-0.038185,declining
294966,2023,2,0.189010,rising
294966,2024,3,-0.044147,declining
295626,2023,2,0.465332,rising
295626,2024,3,0.518959,rising
319717,2023,2,-0.471310,declining
319717,2024,3,-0.158551,declining
319800,2023,2,0.018263,stable
319800,2024,3,0.017221,stable
326864,2023,2,-1.268358,declining
326864,2024,3,-1.002953,declining
327477,2023,2,-0.112241,declining
327477,2024,3,0.058535,rising
329260,2023,2,-0.417718,declining
329260,2024,3,-1.405358,declining
332463,2023,2,-0.193763,declining
332463,2024,3,0.042390,rising
333300,2023,2,-0.234693,declining
333300,2024,3,0.208543,rising
340330,2023,2,-8.942151,declining
340330,2024,3,-3.214211,declining
350431,2023,2,-0.302834,declining
350431,2024,3,0.238335,rising
350660,2023,2,1.056990,rising
350660,2024,3,-0.079405,declining
223040,2024,2,0.168924,rising
251319,2024,2,0.677986,rising
259541,2024,2,0.404681,rising
260185,2024,2,0.196380,rising
270113,2024,2,0.138080,rising
270503,2024,2,0.187866,rising
292414,2024,2,-0.384212,declining
315416,2024,2,3.293003,rising
338892,2024,2,-0.193536,declining
339409,2024,2,0.149478,rising
346289,2024,2,2.670316,rising
347411,2024,2,0.096338,rising
347739,2024,2,0.199074,rising
349408,2024,2,-0.273665,declining
349471,2024,2,-0.660925,declining
352947,2024,2,0.006554,stable
355999,2024,2,-0.338729,declining
